robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,flat,112,9.34707858517353,8.497298973767961,9.994113399435413,9.278221620342,1.4770698746299733,30
babya,base,blf,flat,113,9.34707858517353,8.529409555878642,9.994113399435413,9.285991947528329,1.4746143900992164,30
babya,base,blf,flat,114,9.44133024775829,8.529409555878642,9.994113399435413,9.313312207134704,1.4523561343662719,30
babya,base,blf,flat,115,9.44133024775829,8.529409555878642,9.994113399435413,9.316013698592988,1.4571336466979765,30
babya,base,blf,flat,116,9.538625055146717,8.529409555878642,9.994113399435413,9.342279696329744,1.4437334767307552,30
babya,base,blf,flat,117,9.538625055146717,8.569578421993274,9.994113399435413,9.353550038562975,1.4391773038345375,30
babya,base,blf,flat,118,9.538625055146717,8.645688238000345,10.139666580292184,9.389304900989695,1.424023808053807,30
babya,base,blf,flat,119,9.546546764029866,8.645688238000345,10.145998834684889,9.408895537237289,1.428570091670981,30
babya,base,blf,flat,120,9.613972623227294,8.785459360063589,10.14995141584264,9.462901897937327,1.3898909991874553,30
babya,base,blf,flat,121,9.737484304346653,8.785459360063589,10.14995141584264,9.48422959407211,1.3895326897681046,30
babya,base,blf,flat,122,9.737484304346653,8.785459360063589,10.228580295283304,9.498528742305682,1.3832136099216814,30
babya,base,blf,flat,123,9.854272408973632,8.785459360063589,10.228580295283304,9.531135017467433,1.3810109655926572,30
babya,base,blf,flat,124,9.854272408973632,8.785459360063589,10.234921468814477,9.557207815170043,1.3691250362942418,30
babya,base,blf,flat,125,9.854272408973632,8.785459360063589,10.234998137675309,9.578469982999943,1.3797353240619732,30
babya,base,blf,flat,126,9.854272408973632,8.882578655520845,10.42299270547162,9.623463435976367,1.390054910780309,30
babya,base,blf,flat,127,9.854272408973632,8.922218262589514,10.42299270547162,9.640112352142543,1.3791685583335904,30
babya,base,blf,flat,128,9.896835548885004,8.932514927696914,10.42299270547162,9.692872743025891,1.461571524240748,30
babya,base,blf,flat,129,9.896835548885004,8.932514927696914,10.42299270547162,9.720107580407921,1.4260453131824598,30
babya,base,blf,flat,130,9.91510518952429,8.94450172231658,10.42299270547162,9.73716540088903,1.4231852961182785,30
babya,base,blf,flat,131,9.91510518952429,8.94759240386113,10.42299270547162,9.779863112001467,1.4042850945714982,30
babya,base,blf,flat,132,9.961000389962521,8.94759240386113,10.42299270547162,9.815490655217877,1.4057565418018447,30
babya,base,blf,flat,133,10.013782824719414,8.94759240386113,10.424961650215202,9.871189239919524,1.3732270224321839,30
babya,base,blf,flat,134,10.080620540918037,9.080235256134165,10.425840170985927,9.888121592459024,1.3635675772091644,30
babya,base,blf,flat,135,10.084108665866406,9.256973921349825,10.43697020703457,9.91884410706617,1.3831178744745047,30
babya,base,blf,flat,136,10.088843425329374,9.256973921349825,10.492377726783522,9.962729238713207,1.4060493049510376,30
babya,base,blf,flat,137,10.088843425329374,9.256973921349825,10.503066747975502,9.980474722853051,1.3977264106701868,30
babya,base,blf,flat,138,10.088843425329374,9.256973921349825,10.564398984919817,10.006730887299243,1.3944287324028244,30
babya,base,blf,flat,139,10.088843425329374,9.354680630658901,10.56455804105012,10.01341142716005,1.3912141134265539,30
babya,base,blf,flat,140,10.14922588624901,9.354680630658901,10.56455804105012,10.028545357460107,1.3980743022260027,30
babya,base,blf,flat,141,10.14922588624901,9.40010242414575,10.56455804105012,10.057770131403169,1.4026134768162095,30
babya,base,blf,flat,142,10.189439550234146,9.501374423980195,10.56455804105012,10.117431684682781,1.4086279503736503,30
babya,base,blf,flat,143,10.217346694798131,9.59936935427401,10.613100883767457,10.145454710905373,1.4049659567806205,30
babya,base,blf,flat,144,10.237351224402847,9.59936935427401,10.648573392063806,10.158564187815141,1.4070568812019688,30
babya,base,blf,flat,145,10.238333347628672,9.619447648766457,10.648573392063806,10.164363859120755,1.4050700933409197,30
babya,base,blf,flat,146,10.292958345334164,9.620588919335823,10.648573392063806,10.181346463744985,1.3955117491454052,30
babya,base,blf,flat,147,10.305841959428335,9.634236367478874,10.648573392063806,10.207334897707446,1.4074617131238167,30
babya,base,blf,flat,148,10.305841959428335,9.634236367478874,10.673252452084569,10.244051313786825,1.4403979095040178,30
babya,base,blf,flat,149,10.370164027561206,9.78099185423585,10.673252452084569,10.268616374165742,1.4319591706198842,30
babya,base,blf,flat,150,10.370164027561206,9.78099185423585,10.707808181912847,10.287909831606486,1.4304609797720087,30
babya,base,blf,flat,151,10.37261647618686,9.78099185423585,10.716911285939936,10.319783805827763,1.4592706854460187,30
babya,base,blf,flat,152,10.373874265118658,9.815942095642336,10.716911285939936,10.341854598637712,1.4733559255416258,30
babya,base,blf,flat,153,10.378689480719826,9.816515045322028,10.816205792373179,10.35834091930705,1.4955104492818752,30
babya,base,blf,flat,154,10.406143273988206,9.816515045322028,10.855570334222534,10.387727116110037,1.484697953834823,30
babya,base,blf,flat,155,10.406143273988206,9.824524337590917,10.855570334222534,10.434190462032166,1.4891096331197875,30
babya,base,blf,flat,156,10.415671187538141,9.824524337590917,10.855570334222534,10.460161233811059,1.519285065705532,30
