robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
ege,base,blf,rugged,280,9.1335,7.73975,10.36375,9.278233333333333,2.03731706068229,30
ege,base,blf,rugged,290,9.2685,7.872,10.572000000000001,9.3623,2.072904045719102,30
ege,base,blf,rugged,300,9.2685,7.872,10.660499999999999,9.409566666666667,2.074018466371641,30
ege,phi,uncoupled,flat,1,0.7995000000000001,0.68225,0.9332499999999999,0.8294999999999999,0.23156927167957086,30
ege,phi,uncoupled,flat,10,1.5554999999999999,1.452,1.694,1.6215666666666666,0.3225369995705205,30
ege,phi,uncoupled,flat,20,1.9315,1.74825,2.14675,2.1249,0.6431893779145212,30
ege,phi,uncoupled,flat,30,2.4465000000000003,2.133,2.8165,2.5479666666666665,0.6352180447435479,30
ege,phi,uncoupled,flat,40,2.8315,2.51625,3.09825,2.8579333333333334,0.5669190134543838,30
ege,phi,uncoupled,flat,50,3.2504999999999997,2.9587499999999998,3.81225,3.3916,0.6413024785275021,30
ege,phi,uncoupled,flat,60,3.3970000000000002,3.087,4.186999999999999,3.6918,0.8311730970389856,30
ege,phi,uncoupled,flat,70,3.6879999999999997,3.30725,4.423,3.8878666666666666,0.7446930278625726,30
ege,phi,uncoupled,flat,80,4.058,3.6235,4.67675,4.1825,0.7691055597698963,30
ege,phi,uncoupled,flat,90,4.437,3.9067499999999997,5.062749999999999,4.425033333333333,0.7697679669799887,30
ege,phi,uncoupled,flat,100,4.543,3.929,5.2902499999999995,4.5841666666666665,0.8579643141575387,30
ege,phi,uncoupled,flat,110,4.7295,4.036,5.463,4.7983666666666664,0.9900679699179603,30
ege,phi,uncoupled,flat,120,5.0735,4.1507499999999995,5.7465,5.055133333333333,1.0855534019594557,30
ege,phi,uncoupled,flat,130,5.4435,4.2482500000000005,5.9815,5.327233333333334,1.2113610379931392,30
ege,phi,uncoupled,flat,140,5.665,4.39725,6.151999999999999,5.5244333333333335,1.2310223024768487,30
ege,phi,uncoupled,flat,150,5.9190000000000005,4.839,6.321000000000001,5.767366666666667,1.1765487367232423,30
ege,phi,uncoupled,flat,160,5.9205000000000005,5.163,6.422,5.9171000000000005,1.2810424728483358,30
ege,phi,uncoupled,flat,170,6.2425,5.27425,6.83125,6.197933333333333,1.422123471368113,30
ege,phi,uncoupled,flat,180,6.606999999999999,5.27425,7.1290000000000004,6.412466666666666,1.4554232879566127,30
ege,phi,uncoupled,flat,190,6.673,5.4535,7.1745,6.593566666666666,1.4982779237449937,30
ege,phi,uncoupled,flat,200,6.903,5.5675,7.4345,6.810066666666667,1.5122981582810413,30
ege,phi,uncoupled,flat,210,6.946999999999999,5.787000000000001,7.7785,6.918833333333334,1.547263325633544,30
ege,phi,uncoupled,flat,220,7.0795,5.947,8.18075,7.184566666666667,1.628200629070554,30
ege,phi,uncoupled,flat,230,7.164999999999999,6.0715,8.4085,7.3452,1.6359624268512298,30
ege,phi,uncoupled,flat,240,7.3185,6.30325,8.53275,7.531033333333334,1.699159842764761,30
ege,phi,uncoupled,flat,250,7.528499999999999,6.375500000000001,8.815750000000001,7.716333333333334,1.7031444414687051,30
ege,phi,uncoupled,flat,260,7.7509999999999994,6.49925,9.02075,7.834966666666667,1.7243705994848717,30
ege,phi,uncoupled,flat,270,7.9255,6.682499999999999,9.48075,7.979566666666667,1.7819797530358992,30
ege,phi,uncoupled,flat,280,8.0135,6.69125,9.507000000000001,8.129533333333333,1.8230601543659446,30
ege,phi,uncoupled,flat,290,8.0845,6.7555,9.578,8.240666666666666,1.8413385935487139,30
ege,phi,uncoupled,flat,300,8.168,6.914499999999999,9.68675,8.300266666666667,1.8404751622851379,30
ege,phi,uncoupled,rugged,1,0.765,0.6385000000000001,0.854,0.7569333333333332,0.16050350373946257,30
ege,phi,uncoupled,rugged,10,1.4255,1.29975,1.6324999999999998,1.4746666666666668,0.3167626472812785,30
ege,phi,uncoupled,rugged,20,1.826,1.67725,1.9740000000000002,1.857,0.2899348321546614,30
ege,phi,uncoupled,rugged,30,2.118,1.8707500000000001,2.4915,2.1726,0.4631363543910375,30
ege,phi,uncoupled,rugged,40,2.2344999999999997,1.917,2.5172499999999998,2.267933333333333,0.4455629475504948,30
ege,phi,uncoupled,rugged,50,2.364,1.97675,2.729,2.4285,0.538465043849901,30
ege,phi,uncoupled,rugged,60,2.5045,2.34425,3.08725,2.7036666666666664,0.6450701289506187,30
ege,phi,uncoupled,rugged,70,2.9055,2.4844999999999997,3.4955,3.0613666666666663,0.8279313016367268,30
ege,phi,uncoupled,rugged,80,3.1825,2.64125,3.7262500000000003,3.3011,0.8596722049711739,30
