robot,variant,coupling,terrain,seed,distance,em,drag_pct
gecko,base,blf,flat,23,25.446145031357013,0.975714464302686,17.316666666666666
gecko,base,blf,flat,24,23.75298691062404,0.9837643820333368,17.816666666666666
gecko,base,blf,flat,25,20.235427533408256,0.9830787470718996,14.876666666666669
gecko,base,blf,flat,26,19.269776299514344,0.9768157841699748,5.1
gecko,base,blf,flat,27,17.37332877322575,0.9131824611042588,1.6866666666666668
gecko,base,blf,flat,28,19.69923638932404,0.9751773494699856,3.023333333333333
gecko,base,blf,flat,29,21.09043771439373,0.9597456898026118,11.993333333333334
gecko,base,blf,flat,30,12.691874341509603,0.9640311482718334,1.05
gecko,base,blf,rugged,1,13.973161637585797,0.9356268310215508,3.2666666666666666
gecko,base,blf,rugged,2,14.628451774623391,0.9451196066090426,2.07
gecko,base,blf,rugged,3,19.11101082592992,0.9304918023043732,7.526666666666666
gecko,base,blf,rugged,4,19.13835842113888,0.9420881792691972,13.393333333333333
gecko,base,blf,rugged,5,18.401909671263915,0.9370726792545984,8.353333333333333
gecko,base,blf,rugged,6,18.149572109268952,0.9443955375274096,13.123333333333331
gecko,base,blf,rugged,7,18.042128956970952,0.9486862409928144,13.71
gecko,base,blf,rugged,8,15.471802019090918,0.9253811293624268,3.5733333333333333
gecko,base,blf,rugged,9,10.524413043595862,0.868369160079406,20.576666666666668
gecko,base,blf,rugged,10,10.786102453987302,0.9183603601721648,16.786666666666665
gecko,base,blf,rugged,11,16.145695782560264,0.9488074432497896,7.003333333333333
gecko,base,blf,rugged,12,17.052732249174866,0.9515295144863044,10.596666666666666
gecko,base,blf,rugged,13,17.019370147563137,0.9636638179638564,16.1
gecko,base,blf,rugged,14,17.772048131067773,0.95569074271346,14.93
gecko,base,blf,rugged,15,18.742941210061776,0.9521286816852788,19.07
gecko,base,blf,rugged,16,19.14314663816129,0.9512982057025152,13.186666666666667
gecko,base,blf,rugged,17,18.00856562060019,0.9682913103660472,8.333333333333334
gecko,base,blf,rugged,18,18.46918179301383,0.9738156788854596,17.486666666666668
gecko,base,blf,rugged,19,16.80777370131155,0.955116779669492,12.033333333333331
gecko,base,blf,rugged,20,16.637128662417048,0.948388695635286,13.623333333333331
gecko,base,blf,rugged,21,18.799867196585417,0.9584817240657384,16.176666666666666
gecko,base,blf,rugged,22,17.229992178340655,0.955234292342714,15.12
gecko,base,blf,rugged,23,13.728712229857347,0.9591700332524716,4.543333333333333
gecko,base,blf,rugged,24,17.711084377163537,0.9425444849334752,1.67
gecko,base,blf,rugged,25,18.816221287944003,0.9644076510880868,17.14
gecko,base,blf,rugged,26,16.98548947598247,0.9545261774626592,1.7666666666666666
gecko,base,blf,rugged,27,18.535286954227114,0.9573947727523032,21.703333333333333
gecko,base,blf,rugged,28,18.58645743719409,0.92723255533474,13.843333333333334
gecko,base,blf,rugged,29,15.905482796741,0.894884049552505,14.69
gecko,base,blf,rugged,30,18.255005400698817,0.931136572980932,16.156666666666666
gecko,phi,uncoupled,flat,1,21.250685451194254,0.9690537372702404,2.303333333333333
gecko,phi,uncoupled,flat,2,8.541794765109413,0.7655786276582138,8.013333333333334
gecko,phi,uncoupled,flat,3,6.598377553034844,0.6100459375060838,50.04666666666667
gecko,phi,uncoupled,flat,4,4.938960635145725,0.5687946641297006,2.2666666666666666
gecko,phi,uncoupled,flat,5,12.06850722545023,0.955790025405188,6.683333333333334
gecko,phi,uncoupled,flat,6,8.593992906509328,0.7953404273800377,0.7766666666666666
gecko,phi,uncoupled,flat,7,13.16516644343494,0.9545224796951076,7.223333333333334
gecko,phi,uncoupled,flat,8,12.876271551409165,0.964188320209984,0.7633333333333333
gecko,phi,uncoupled,flat,9,6.442345632402246,0.5994014083170217,49.083333333333336
gecko,phi,uncoupled,flat,10,12.195066886986988,0.9406590718481946,1.23
gecko,phi,uncoupled,flat,11,12.626618475333787,0.9740875716968114,0.1866666666666666
gecko,phi,uncoupled,flat,12,12.029112161592106,0.912717229039296,0.17
gecko,phi,uncoupled,flat,13,5.938836722353698,0.6242464108650095,6.98
gecko,phi,uncoupled,flat,14,8.642072379621661,0.8090560211714565,1.8733333333333333
gecko,phi,uncoupled,flat,15,13.70503131876722,0.9640216005911624,5.793333333333333
gecko,phi,uncoupled,flat,16,6.50206775440251,0.5907460905872318,49.656666666666666
