robot,variant,coupling,seed,distance,drag_pct,em
queen,base,blf,33,11.1375,50.8633,0.8754
queen,base,blf,34,10.3652,50.4867,0.8543
queen,base,blf,35,6.7024,9.8667,0.6758
queen,phi,uncoupled,1,9.7420,49.1000,0.9208
queen,phi,uncoupled,2,5.9100,55.4100,0.7987
queen,phi,uncoupled,3,11.4059,49.4167,0.8873
queen,phi,uncoupled,4,10.6907,41.5800,0.8241
queen,phi,uncoupled,5,12.0415,40.7833,0.8627
queen,phi,uncoupled,6,11.0163,53.2567,0.8816
queen,phi,uncoupled,7,12.7997,41.2867,0.8959
queen,phi,uncoupled,8,11.6100,33.2400,0.8698
queen,phi,uncoupled,9,8.2587,26.3167,0.8083
queen,phi,uncoupled,10,7.4099,56.8167,0.7990
queen,phi,uncoupled,11,13.5304,33.7233,0.8839
queen,phi,uncoupled,12,9.0055,29.7667,0.7182
queen,phi,uncoupled,13,5.8862,54.6000,0.6634
queen,phi,uncoupled,14,10.9770,36.6333,0.8871
queen,phi,uncoupled,15,10.5966,42.5700,0.8533
queen,phi,uncoupled,16,7.9965,52.3500,0.6995
queen,phi,uncoupled,17,7.6952,60.8333,0.7051
queen,phi,uncoupled,18,9.8300,53.8167,0.9109
queen,phi,uncoupled,19,6.0000,48.9033,0.8702
queen,phi,uncoupled,20,9.5159,24.5800,0.8509
queen,phi,uncoupled,21,10.3138,75.0967,0.9128
queen,phi,uncoupled,22,6.6359,32.6433,0.6812
queen,phi,uncoupled,23,4.9626,62.4500,0.7436
queen,phi,uncoupled,24,5.2066,49.8300,0.8127
queen,phi,uncoupled,25,11.8281,45.4100,0.8916
queen,phi,uncoupled,26,11.6745,30.9833,0.8686
queen,phi,uncoupled,27,5.6307,65.9867,0.6292
queen,phi,uncoupled,28,5.2294,43.1500,0.7853
queen,phi,uncoupled,29,12.5158,35.5467,0.8569
queen,phi,uncoupled,30,11.3330,35.9167,0.8716
queen,phi,uncoupled,31,8.9934,53.5933,0.8187
queen,phi,uncoupled,32,8.0041,56.9800,0.7437
queen,phi,uncoupled,33,9.9480,60.6100,0.9513
queen,phi,uncoupled,34,11.3193,43.8433,0.8808
queen,phi,uncoupled,35,11.9394,25.7000,0.8965
spider,base,blf,1,8.6269,11.9333,0.7104
spider,base,blf,2,8.5604,17.5667,0.7928
spider,base,blf,3,8.2705,29.5033,0.8196
spider,base,blf,4,8.5701,10.5000,0.7474
spider,base,blf,5,8.9066,28.7933,0.7821
spider,base,blf,6,9.0237,9.4633,0.8100
spider,base,blf,7,8.9526,8.4967,0.7931
spider,base,blf,8,8.0742,54.3133,0.7394
spider,base,blf,9,8.6054,0.4500,0.7116
spider,base,blf,10,9.0152,5.7500,0.8058
spider,base,blf,11,8.2582,13.4700,0.7777
spider,base,blf,12,8.9846,5.4300,0.8736
spider,base,blf,13,7.6262,1.7400,0.7959
spider,base,blf,14,8.7573,4.6767,0.7305
spider,base,blf,15,7.5187,40.3300,0.8085
spider,base,blf,16,7.8064,2.2700,0.7795
spider,base,blf,17,8.6043,3.2833,0.8115
spider,base,blf,18,8.8014,34.1067,0.8171
spider,base,blf,19,8.8266,3.3333,0.7800
spider,base,blf,20,8.7439,13.1200,0.7797
spider,base,blf,21,7.7385,49.7033,0.8215
spider,base,blf,22,8.7294,8.3467,0.7122
